
 wsid         | year | month | day | system.max(temperature) | system.min(temperature) | system.avg(temperature) | system.avg(dewpoint) | system.avg(dewpoint)
 722020:12839 | 2014 |     1 |   9 |                    26.1 |                       0 |                 22.2875 |             61.79167 |             61.79167
 722020:12839 | 2014 |     1 |   8 |                    20.6 |                       0 |                 14.7875 |             54.72917 |             54.72917
 722020:12839 | 2014 |     1 |   7 |                    23.3 |                       0 |                13.12917 |              46.4875 |              46.4875
 722020:12839 | 2014 |     1 |   6 |                    28.9 |                       0 |                 22.4625 |             60.90833 |             60.90833
 722020:12839 | 2014 |     1 |   5 |                    27.2 |                       0 |                23.34583 |              61.0125 |              61.0125
 722020:12839 | 2014 |     1 |   4 |                    23.9 |                       0 |                19.83333 |             56.63333 |             56.63333
 722020:12839 | 2014 |     1 |   3 |                      25 |                       0 |                19.58333 |              55.1125 |              55.1125
 722020:12839 | 2014 |     1 |   2 |                    28.3 |                       0 |                 24.1125 |               61.275 |               61.275
 722020:12839 | 2014 |     1 |   1 |                    27.8 |                       0 |                 23.8375 |             61.08333 |             61.08333
 722020:12839 | 2013 |    12 |  31 |                      25 |                       0 |                21.75833 |              59.4375 |              59.4375
 722020:12839 | 2013 |    12 |  30 |                    26.7 |                       0 |                22.75417 |             62.35417 |             62.35417
 722020:12839 | 2013 |    12 |  29 |                    26.7 |                       0 |                  24.225 |             63.00833 |             63.00833
 722020:12839 | 2013 |    12 |  28 |                    26.1 |                       0 |                 23.2875 |              62.0375 |              62.0375
 722020:12839 | 2013 |    12 |  27 |                    26.7 |                       0 |                 22.3375 |             61.44583 |             61.44583
 722020:12839 | 2013 |    12 |  26 |                    23.9 |                       0 |                21.46667 |               61.375 |               61.375
 722020:12839 | 2013 |    12 |  25 |                      25 |                       0 |                21.56957 |             60.23478 |             60.23478
 722020:12839 | 2013 |    12 |  24 |                    28.9 |                       0 |                23.37917 |             61.53333 |             61.53333
 722020:12839 | 2013 |    12 |  23 |                    28.3 |                       0 |                24.87917 |               62.575 |               62.575
 722020:12839 | 2013 |    12 |  22 |                    27.8 |                       0 |                 24.9625 |              62.0125 |              62.0125
 722020:12839 | 2013 |    12 |  21 |                    27.8 |                       0 |                24.71667 |             61.85833 |             61.85833
 722020:12839 | 2013 |    12 |  20 |                    27.2 |                       0 |                23.61667 |             59.36667 |             59.36667
 722020:12839 | 2013 |    12 |  19 |                    25.6 |                       0 |                 19.9125 |                55.25 |                55.25
 722020:12839 | 2013 |    12 |  18 |                    25.6 |                       0 |                20.13333 |              55.0875 |              55.0875
 722020:12839 | 2013 |    12 |  17 |                    25.6 |                       0 |                19.60417 |             56.17917 |             56.17917
 722020:12839 | 2013 |    12 |  16 |                      25 |                       0 |                21.10833 |             57.94583 |             57.94583
 722020:12839 | 2013 |    12 |  15 |                    29.4 |                       0 |                  24.875 |             62.61667 |             62.61667
 722020:12839 | 2013 |    12 |  14 |                    27.8 |                       0 |                23.92083 |               61.225 |               61.225
 722020:12839 | 2013 |    12 |  13 |                    26.1 |                       0 |                21.62917 |               57.425 |               57.425
 722020:12839 | 2013 |    12 |  12 |                    27.2 |                       0 |                23.44167 |             61.22917 |             61.22917
 722020:12839 | 2013 |    12 |  11 |                    28.3 |                       0 |                 24.4875 |             62.27917 |             62.27917
 722020:12839 | 2013 |    12 |  10 |                    27.8 |                       0 |                24.47917 |             61.46667 |             61.46667
 722020:12839 | 2013 |    12 |   9 |                    28.3 |                       0 |                24.79167 |             60.69583 |             60.69583
 722020:12839 | 2013 |    12 |   8 |                      28 |                       0 |                 24.0625 |             61.00833 |             61.00833
 722020:12839 | 2013 |    12 |   7 |                    27.8 |                       0 |                23.63333 |             60.40417 |             60.40417
 722020:12839 | 2013 |    12 |   6 |                    27.8 |                       0 |                24.43333 |             60.95833 |             60.95833
 722020:12839 | 2013 |    12 |   5 |                    27.8 |                       0 |                23.32083 |             60.52917 |             60.52917
 722020:12839 | 2013 |    12 |   4 |                    27.2 |                       0 |                 22.8875 |             59.52083 |             59.52083
 722020:12839 | 2013 |    12 |   3 |                    26.1 |                       0 |                20.67917 |                56.15 |                56.15
 722020:12839 | 2013 |    12 |   2 |                    23.9 |                       0 |                20.07917 |               58.825 |               58.825
 722020:12839 | 2013 |    12 |   1 |                    26.1 |                       0 |                20.96667 |             58.60417 |             58.60417
 722020:12839 | 2013 |    11 |  30 |                    27.8 |                       0 |                20.56667 |              57.7625 |              57.7625
 722020:12839 | 2013 |    11 |  29 |                    25.6 |                       0 |                19.67083 |              55.0875 |              55.0875
 722020:12839 | 2013 |    11 |  28 |                    23.3 |                       0 |                  16.625 |             52.30417 |             52.30417
 722020:12839 | 2013 |    11 |  27 |                    26.1 |                       0 |                22.97083 |               60.575 |               60.575
 722020:12839 | 2013 |    11 |  26 |                    27.2 |                       0 |                24.06667 |             62.29167 |             62.29167
 722020:12839 | 2013 |    11 |  25 |                    25.6 |                       0 |                22.22917 |             59.13333 |             59.13333
 722020:12839 | 2013 |    11 |  24 |                    28.3 |                       0 |                   23.65 |                 60.5 |                 60.5
 722020:12839 | 2013 |    11 |  23 |                    27.2 |                       0 |                23.99167 |             62.24167 |             62.24167
 722020:12839 | 2013 |    11 |  22 |                    26.7 |                       0 |                 23.6625 |              62.7875 |              62.7875
 722020:12839 | 2013 |    11 |  21 |                    29.4 |                       0 |                   24.65 |              62.0625 |              62.0625
 722020:12839 | 2013 |    11 |  20 |                    28.3 |                       0 |                 23.8625 |               62.525 |               62.525
 722020:12839 | 2013 |    11 |  19 |                      30 |                       0 |                24.42083 |              61.7625 |              61.7625
 722020:12839 | 2013 |    11 |  18 |                    27.8 |                       0 |                   24.45 |              61.8125 |              61.8125
 722020:12839 | 2013 |    11 |  17 |                    28.9 |                       0 |                25.14167 |                60.95 |                60.95
 722020:12839 | 2013 |    11 |  16 |                    27.8 |                       0 |                 24.7375 |             61.07083 |             61.07083
 722020:12839 | 2013 |    11 |  15 |                    27.2 |                       0 |                23.32083 |             58.84167 |             58.84167
 722020:12839 | 2013 |    11 |  14 |                    26.1 |                       0 |                  22.225 |             55.97083 |             55.97083
 722020:12839 | 2013 |    11 |  13 |                    26.1 |                       0 |                22.75833 |             59.09167 |             59.09167
 722020:12839 | 2013 |    11 |  12 |                    29.4 |                       0 |                24.89167 |               60.825 |               60.825
 722020:12839 | 2013 |    11 |  11 |                    28.3 |                       0 |                 24.7125 |              61.2125 |              61.2125
 722020:12839 | 2013 |    11 |  10 |                    28.9 |                       0 |                  24.725 |              62.4625 |              62.4625
 722020:12839 | 2013 |    11 |   9 |                    28.3 |                       0 |                24.20417 |             62.95417 |             62.95417
 722020:12839 | 2013 |    11 |   8 |                    28.3 |                       0 |                 24.1875 |             61.29583 |             61.29583
 722020:12839 | 2013 |    11 |   7 |                    31.1 |                       0 |                25.07083 |             61.02917 |             61.02917
 722020:12839 | 2013 |    11 |   6 |                    28.9 |                       0 |                25.84167 |             61.58333 |             61.58333
 722020:12839 | 2013 |    11 |   5 |                    28.3 |                       0 |                25.10417 |                 59.9 |                 59.9
 722020:12839 | 2013 |    11 |   4 |                    28.3 |                       0 |                 24.1125 |              57.3625 |              57.3625
 722020:12839 | 2013 |    11 |   3 |                    27.8 |                       0 |                23.54583 |              58.3125 |              58.3125
 722020:12839 | 2013 |    11 |   2 |                    31.1 |                       0 |                    25.6 |              61.6125 |              61.6125
 722020:12839 | 2013 |    11 |   1 |                    29.4 |                       0 |                   25.65 |              62.6375 |              62.6375
 722020:12839 | 2013 |    10 |  31 |                    29.4 |                       0 |                    25.5 |             60.34167 |             60.34167
 722020:12839 | 2013 |    10 |  30 |                    28.9 |                       0 |                25.41667 |                   59 |                   59
 722020:12839 | 2013 |    10 |  29 |                    28.9 |                       0 |                 24.4875 |              59.4125 |              59.4125
 722020:12839 | 2013 |    10 |  28 |                    28.9 |                       0 |                24.29583 |             57.91667 |             57.91667
 722020:12839 | 2013 |    10 |  27 |                    27.8 |                       0 |                23.44583 |             57.53333 |             57.53333
 722020:12839 | 2013 |    10 |  26 |                    27.8 |                       0 |                 23.8875 |               57.575 |               57.575
 722020:12839 | 2013 |    10 |  25 |                    28.3 |                       0 |                23.94167 |             58.53333 |             58.53333
 722020:12839 | 2013 |    10 |  24 |                    27.2 |                       0 |                23.81667 |             60.82083 |             60.82083
 722020:12839 | 2013 |    10 |  23 |                    30.6 |                       0 |                26.12083 |             64.00833 |             64.00833
 722020:12839 | 2013 |    10 |  22 |                      30 |                       0 |                26.09167 |             64.28333 |             64.28333
 722020:12839 | 2013 |    10 |  21 |                    31.1 |                       0 |                 26.7625 |             64.01667 |             64.01667
 722020:12839 | 2013 |    10 |  20 |                    31.1 |                       0 |                26.39583 |              63.7625 |              63.7625
 722020:12839 | 2013 |    10 |  19 |                      30 |                       0 |                26.52917 |                63.05 |                63.05
 722020:12839 | 2013 |    10 |  18 |                    31.1 |                       0 |                26.18333 |                 61.7 |                 61.7
 722020:12839 | 2013 |    10 |  17 |                    30.6 |                       0 |                26.07083 |             61.41667 |             61.41667
 722020:12839 | 2013 |    10 |  16 |                    29.4 |                       0 |                25.52917 |             61.12917 |             61.12917
 722020:12839 | 2013 |    10 |  15 |                    31.1 |                       0 |                  25.625 |             60.12083 |             60.12083
 722020:12839 | 2013 |    10 |  14 |                      30 |                       0 |                25.34583 |                59.15 |                59.15
 722020:12839 | 2013 |    10 |  13 |                      30 |                       0 |                25.24583 |             59.94167 |             59.94167
 722020:12839 | 2013 |    10 |  12 |                    29.4 |                       0 |                25.32083 |             59.36667 |             59.36667
 722020:12839 | 2013 |    10 |  11 |                    30.6 |                       0 |                   25.95 |             60.47917 |             60.47917

 wsid         | year | month | day | system.max(temperature) | system.min(temperature) | system.avg(temperature) | system.avg(dewpoint) | system.avg(dewpoint)
--------------+------+-------+-----+-------------------------+-------------------------+-------------------------+----------------------+----------------------
 722020:12839 | 2013 |    10 |  10 |                    31.7 |                       0 |                26.07083 |             62.16667 |             62.16667
 722020:12839 | 2013 |    10 |   9 |                      30 |                       0 |                25.77917 |             62.70833 |             62.70833
 722020:12839 | 2013 |    10 |   8 |                    31.1 |                       0 |                26.49167 |             63.97917 |             63.97917
 722020:12839 | 2013 |    10 |   7 |                    32.8 |                       0 |                 26.4125 |             62.45417 |             62.45417
 722020:12839 | 2013 |    10 |   6 |                    30.6 |                       0 |                  26.575 |              62.0375 |              62.0375
 722020:12839 | 2013 |    10 |   5 |                    31.1 |                       0 |                 26.4375 |             61.47917 |             61.47917
 722020:12839 | 2013 |    10 |   4 |                    31.1 |                       0 |                 26.4375 |              62.5125 |              62.5125
 722020:12839 | 2013 |    10 |   3 |                    28.9 |                       0 |                    24.9 |             63.54583 |             63.54583
 722020:12839 | 2013 |    10 |   2 |                    29.4 |                       0 |                 25.8125 |              63.7125 |              63.7125
 722020:12839 | 2013 |    10 |   1 |                    31.7 |                       0 |                27.29583 |             62.67917 |             62.67917
 722020:12839 | 2013 |     9 |  30 |                    30.6 |                       0 |                26.39167 |             61.54583 |             61.54583
 722020:12839 | 2013 |     9 |  29 |                      30 |                       0 |                25.32083 |             62.44583 |             62.44583
 722020:12839 | 2013 |     9 |  28 |                    30.6 |                       0 |                26.47083 |               62.775 |               62.775
 722020:12839 | 2013 |     9 |  27 |                    31.7 |                       0 |                  27.125 |                63.25 |                63.25
 722020:12839 | 2013 |     9 |  26 |                    32.2 |                       0 |                 27.4375 |              64.8875 |              64.8875
 722020:12839 | 2013 |     9 |  25 |                    32.2 |                       0 |                26.69583 |               64.175 |               64.175
 722020:12839 | 2013 |     9 |  24 |                    32.8 |                       0 |                27.70833 |               65.325 |               65.325
 722020:12839 | 2013 |     9 |  23 |                      30 |                       0 |                 26.7125 |              64.7625 |              64.7625
 722020:12839 | 2013 |     9 |  22 |                    32.2 |                       0 |                27.21667 |              63.8125 |              63.8125
 722020:12839 | 2013 |     9 |  21 |                    30.6 |                       0 |                  25.925 |             63.27917 |             63.27917
 722020:12839 | 2013 |     9 |  20 |                      30 |                       0 |                  26.225 |                 62.5 |                 62.5
 722020:12839 | 2013 |     9 |  19 |                    32.2 |                       0 |                26.39583 |             63.69167 |             63.69167
 722020:12839 | 2013 |     9 |  18 |                      30 |                       0 |                  26.275 |             64.17917 |             64.17917
 722020:12839 | 2013 |     9 |  17 |                    29.4 |                       0 |                25.15833 |             64.17917 |             64.17917
 722020:12839 | 2013 |     9 |  16 |                    27.8 |                       0 |                25.20833 |              64.6125 |              64.6125
 722020:12839 | 2013 |     9 |  15 |                    29.4 |                       0 |                26.05833 |             64.38333 |             64.38333
 722020:12839 | 2013 |     9 |  14 |                    32.2 |                       0 |                27.65833 |             63.75833 |             63.75833
 722020:12839 | 2013 |     9 |  13 |                    32.8 |                       0 |                 27.3375 |             63.83333 |             63.83333
 722020:12839 | 2013 |     9 |  12 |                    29.4 |                       0 |                25.82917 |               63.975 |               63.975
 722020:12839 | 2013 |     9 |  11 |                    30.6 |                       0 |                   26.65 |             64.00417 |             64.00417
 722020:12839 | 2013 |     9 |  10 |                    31.7 |                       0 |                 27.0125 |             63.89167 |             63.89167
 722020:12839 | 2013 |     9 |   9 |                    32.2 |                       0 |                27.18333 |             63.53333 |             63.53333
 722020:12839 | 2013 |     9 |   8 |                    31.1 |                       0 |                26.27083 |             63.14167 |             63.14167
 722020:12839 | 2013 |     9 |   7 |                    30.6 |                       0 |                27.09583 |             63.69167 |             63.69167
 722020:12839 | 2013 |     9 |   6 |                    32.2 |                       0 |                28.53333 |             64.43333 |             64.43333
 722020:12839 | 2013 |     9 |   5 |                    32.2 |                       0 |                28.19167 |               64.475 |               64.475
 722020:12839 | 2013 |     9 |   4 |                    31.1 |                       0 |                    27.5 |               64.675 |               64.675
 722020:12839 | 2013 |     9 |   3 |                    31.7 |                       0 |                   26.05 |                63.95 |                63.95
 722020:12839 | 2013 |     9 |   2 |                    32.8 |                       0 |                    26.4 |              63.9375 |              63.9375
 722020:12839 | 2013 |     9 |   1 |                    32.2 |                       0 |                26.64583 |             63.80417 |             63.80417
 722020:12839 | 2013 |     8 |  31 |                    32.2 |                       0 |                26.36667 |             63.47083 |             63.47083
 722020:12839 | 2013 |     8 |  30 |                    31.7 |                       0 |                    27.2 |             63.28333 |             63.28333
 722020:12839 | 2013 |     8 |  29 |                    32.2 |                       0 |                27.01667 |              63.2625 |              63.2625
 722020:12839 | 2013 |     8 |  28 |                      30 |                       0 |                  25.075 |             62.65417 |             62.65417
 722020:12839 | 2013 |     8 |  27 |                    28.3 |                       0 |                25.42917 |             63.18333 |             63.18333
 722020:12839 | 2013 |     8 |  26 |                      30 |                       0 |                26.22083 |             63.57917 |             63.57917
 722020:12839 | 2013 |     8 |  25 |                    31.1 |                       0 |                27.54583 |             64.10833 |             64.10833
 722020:12839 | 2013 |     8 |  24 |                    32.2 |                       0 |                28.19583 |              64.4125 |              64.4125
 722020:12839 | 2013 |     8 |  23 |                    32.2 |                       0 |                28.02917 |             64.25417 |             64.25417
 722020:12839 | 2013 |     8 |  22 |                    31.7 |                       0 |                 28.2125 |             64.61667 |             64.61667
 722020:12839 | 2013 |     8 |  21 |                    31.1 |                       0 |                  27.175 |             64.80417 |             64.80417
 722020:12839 | 2013 |     8 |  20 |                    32.2 |                       0 |                27.96667 |              64.0375 |              64.0375
 722020:12839 | 2013 |     8 |  19 |                    31.7 |                       0 |                27.75417 |             64.49167 |             64.49167
 722020:12839 | 2013 |     8 |  18 |                    32.8 |                       0 |                28.49167 |                 64.5 |                 64.5
 722020:12839 | 2013 |     8 |  17 |                    32.8 |                       0 |                28.76667 |             64.37083 |             64.37083
 722020:12839 | 2013 |     8 |  16 |                    32.2 |                       0 |                28.02083 |             64.98333 |             64.98333
 722020:12839 | 2013 |     8 |  15 |                      30 |                       0 |                26.36667 |             64.60833 |             64.60833
 722020:12839 | 2013 |     8 |  14 |                    32.2 |                       0 |                28.08333 |               63.725 |               63.725
 722020:12839 | 2013 |     8 |  13 |                    32.2 |                       0 |                 28.1875 |              63.8125 |              63.8125
 722020:12839 | 2013 |     8 |  12 |                    32.2 |                       0 |                28.25833 |             63.34583 |             63.34583
 722020:12839 | 2013 |     8 |  11 |                    32.2 |                       0 |                 28.5125 |             64.22917 |             64.22917
 722020:12839 | 2013 |     8 |  10 |                    31.7 |                       0 |                 27.8125 |                 63.6 |                 63.6
 722020:12839 | 2013 |     8 |   9 |                    29.4 |                       0 |                26.45417 |                 63.6 |                 63.6
 722020:12839 | 2013 |     8 |   8 |                    32.2 |                       0 |                28.33333 |             63.64167 |             63.64167
 722020:12839 | 2013 |     8 |   7 |                    31.1 |                       0 |                27.80417 |              64.0375 |              64.0375
 722020:12839 | 2013 |     8 |   6 |                    31.7 |                       0 |                27.45417 |             64.80417 |             64.80417
 722020:12839 | 2013 |     8 |   5 |                    32.8 |                       0 |                27.64167 |              64.4125 |              64.4125
 722020:12839 | 2013 |     8 |   4 |                    32.8 |                       0 |                26.89167 |             64.18333 |             64.18333
 722020:12839 | 2013 |     8 |   3 |                    31.1 |                       0 |                  26.275 |              64.2125 |              64.2125
 722020:12839 | 2013 |     8 |   2 |                    32.8 |                       0 |                27.08333 |             63.28333 |             63.28333
 722020:12839 | 2013 |     8 |   1 |                    31.7 |                       0 |                   28.15 |               63.025 |               63.025
 722020:12839 | 2013 |     7 |  31 |                    32.2 |                       0 |                28.16667 |              64.1625 |              64.1625
 722020:12839 | 2013 |     7 |  30 |                    32.2 |                       0 |                27.77917 |             64.81667 |             64.81667
 722020:12839 | 2013 |     7 |  29 |                    32.2 |                       0 |                   28.15 |             63.97917 |             63.97917
 722020:12839 | 2013 |     7 |  28 |                    32.2 |                       0 |                 26.7125 |             63.61667 |             63.61667
 722020:12839 | 2013 |     7 |  27 |                    30.6 |                       0 |                26.02083 |             64.15417 |             64.15417
 722020:12839 | 2013 |     7 |  26 |                    33.3 |                       0 |                28.30833 |              64.1375 |              64.1375
 722020:12839 | 2013 |     7 |  25 |                    33.3 |                       0 |                28.00833 |             62.82083 |             62.82083
 722020:12839 | 2013 |     7 |  24 |                    33.3 |                       0 |                28.07083 |             63.27917 |             63.27917
 722020:12839 | 2013 |     7 |  23 |                    31.1 |                       0 |                27.04167 |             64.28333 |             64.28333
 722020:12839 | 2013 |     7 |  22 |                    31.1 |                       0 |                27.54167 |             63.99583 |             63.99583
 722020:12839 | 2013 |     7 |  21 |                    31.1 |                       0 |                27.15833 |             65.12083 |             65.12083
 722020:12839 | 2013 |     7 |  20 |                    30.6 |                       0 |                27.08333 |             65.07917 |             65.07917
 722020:12839 | 2013 |     7 |  19 |                    31.1 |                       0 |                25.65833 |             64.12083 |             64.12083
 722020:12839 | 2013 |     7 |  18 |                    28.3 |                       0 |                23.77917 |             63.02083 |             63.02083
 722020:12839 | 2013 |     7 |  17 |                    26.7 |                       0 |                23.37083 |              62.8625 |              62.8625
 722020:12839 | 2013 |     7 |  16 |                    28.9 |                       0 |                 25.1125 |             62.59583 |             62.59583
 722020:12839 | 2013 |     7 |  15 |                    30.6 |                       0 |                  24.975 |             62.59583 |             62.59583
 722020:12839 | 2013 |     7 |  14 |                      30 |                       0 |                25.18333 |             63.20833 |             63.20833
 722020:12839 | 2013 |     7 |  13 |                    30.6 |                       0 |                25.90417 |             63.33333 |             63.33333
 722020:12839 | 2013 |     7 |  12 |                    31.1 |                       0 |                 26.0875 |             63.26667 |             63.26667
 722020:12839 | 2013 |     7 |  11 |                    31.7 |                       0 |                 27.1375 |             63.53333 |             63.53333
 722020:12839 | 2013 |     7 |  10 |                    30.6 |                       0 |                  26.075 |                 62.3 |                 62.3
 722020:12839 | 2013 |     7 |   9 |                    30.6 |                       0 |                26.34583 |              62.4125 |              62.4125
 722020:12839 | 2013 |     7 |   8 |                    31.7 |                       0 |                 27.7125 |             62.37917 |             62.37917
 722020:12839 | 2013 |     7 |   7 |                    31.7 |                       0 |                27.19167 |             63.65833 |             63.65833
 722020:12839 | 2013 |     7 |   6 |                    31.1 |                       0 |                  27.725 |             63.48333 |             63.48333
 722020:12839 | 2013 |     7 |   5 |                    31.1 |                       0 |                  26.725 |             63.83333 |             63.83333
 722020:12839 | 2013 |     7 |   4 |                    31.1 |                       0 |                27.38333 |              63.7875 |              63.7875
 722020:12839 | 2013 |     7 |   3 |                    30.6 |                       0 |                26.76667 |             63.76667 |             63.76667

 wsid         | year | month | day | system.max(temperature) | system.min(temperature) | system.avg(temperature) | system.avg(dewpoint) | system.avg(dewpoint)
--------------+------+-------+-----+-------------------------+-------------------------+-------------------------+----------------------+----------------------
 722020:12839 | 2013 |     7 |   2 |                    28.9 |                       0 |                 26.2125 |             64.59583 |             64.59583
 722020:12839 | 2013 |     7 |   1 |                    31.1 |                       0 |                  26.875 |               64.075 |               64.075
 722020:12839 | 2013 |     6 |  30 |                    31.7 |                       0 |                26.54167 |              63.9125 |              63.9125
 722020:12839 | 2013 |     6 |  29 |                    32.2 |                       0 |                26.42917 |             63.64583 |             63.64583
 722020:12839 | 2013 |     6 |  28 |                    31.1 |                       0 |                26.92917 |             63.65833 |             63.65833
 722020:12839 | 2013 |     6 |  27 |                    30.6 |                       0 |                26.44167 |             63.89583 |             63.89583
 722020:12839 | 2013 |     6 |  26 |                    31.7 |                       0 |                27.42083 |             63.42083 |             63.42083
 722020:12839 | 2013 |     6 |  25 |                    31.7 |                       0 |                27.43333 |             63.84583 |             63.84583
 722020:12839 | 2013 |     6 |  24 |                    31.1 |                       0 |                   27.45 |              62.9375 |              62.9375
 722020:12839 | 2013 |     6 |  23 |                    31.1 |                       0 |                27.28333 |             63.24167 |             63.24167
 722020:12839 | 2013 |     6 |  22 |                    32.2 |                       0 |                   27.55 |             62.78333 |             62.78333
 722020:12839 | 2013 |     6 |  21 |                    31.7 |                       0 |                27.90417 |              62.6625 |              62.6625
 722020:12839 | 2013 |     6 |  20 |                    31.7 |                       0 |                27.24583 |             63.64583 |             63.64583
 722020:12839 | 2013 |     6 |  19 |                    31.7 |                       0 |                27.84167 |             64.12917 |             64.12917
 722020:12839 | 2013 |     6 |  18 |                    31.7 |                       0 |                27.84583 |                 64.2 |                 64.2
 722020:12839 | 2013 |     6 |  17 |                    31.7 |                       0 |                  28.075 |               63.475 |               63.475
 722020:12839 | 2013 |     6 |  16 |                    31.7 |                       0 |                  27.625 |             63.96667 |             63.96667
 722020:12839 | 2013 |     6 |  15 |                    32.2 |                       0 |                27.37917 |             63.25833 |             63.25833
 722020:12839 | 2013 |     6 |  14 |                    33.3 |                       0 |                 27.0625 |              62.6625 |              62.6625
 722020:12839 | 2013 |     6 |  13 |                    31.1 |                       0 |                25.96667 |             63.23333 |             63.23333
 722020:12839 | 2013 |     6 |  12 |                      31 |                       0 |                25.69167 |              63.8625 |              63.8625
 722020:12839 | 2013 |     6 |  11 |                    30.6 |                       0 |                 27.1375 |             64.16667 |             64.16667
 722020:12839 | 2013 |     6 |  10 |                    31.1 |                       0 |                27.44167 |             64.05833 |             64.05833
 722020:12839 | 2013 |     6 |   9 |                    30.6 |                       0 |                27.12917 |              63.8375 |              63.8375
 722020:12839 | 2013 |     6 |   8 |                    30.6 |                       0 |                    25.9 |               64.125 |               64.125
 722020:12839 | 2013 |     6 |   7 |                    32.8 |                       0 |                25.50417 |             64.33333 |             64.33333
 722020:12839 | 2013 |     6 |   6 |                    31.1 |                       0 |                26.57917 |             64.76667 |             64.76667
 722020:12839 | 2013 |     6 |   5 |                    28.9 |                       0 |                26.34583 |               64.175 |               64.175
 722020:12839 | 2013 |     6 |   4 |                    27.8 |                       0 |                   25.05 |             64.13333 |             64.13333
 722020:12839 | 2013 |     6 |   3 |                      30 |                       0 |                25.27083 |             62.67083 |             62.67083
 722020:12839 | 2013 |     6 |   2 |                    30.6 |                       0 |                25.68333 |             63.83333 |             63.83333
 722020:12839 | 2013 |     6 |   1 |                    30.6 |                       0 |                      25 |             63.74167 |             63.74167
 722020:12839 | 2013 |     5 |  31 |                    28.3 |                       0 |                 25.0125 |              63.2125 |              63.2125
 722020:12839 | 2013 |     5 |  30 |                    28.9 |                       0 |                  25.075 |             62.35833 |             62.35833
 722020:12839 | 2013 |     5 |  29 |                    26.7 |                       0 |                23.98333 |             62.47083 |             62.47083
 722020:12839 | 2013 |     5 |  28 |                    27.2 |                       0 |                    24.9 |             62.74583 |             62.74583
 722020:12839 | 2013 |     5 |  27 |                    29.4 |                       0 |                    25.7 |              61.1125 |              61.1125
 722020:12839 | 2013 |     5 |  26 |                    29.4 |                       0 |                  25.475 |             59.02917 |             59.02917
 722020:12839 | 2013 |     5 |  25 |                      30 |                       0 |                 26.1875 |             61.13333 |             61.13333
 722020:12839 | 2013 |     5 |  24 |                    33.9 |                       0 |                    26.6 |             62.72917 |             62.72917
 722020:12839 | 2013 |     5 |  23 |                    33.9 |                       0 |                 26.6625 |             62.29583 |             62.29583
 722020:12839 | 2013 |     5 |  22 |                      30 |                       0 |                24.77917 |               62.525 |               62.525
 722020:12839 | 2013 |     5 |  21 |                    28.3 |                    21.1 |                24.79167 |                21.45 |                21.45
 722020:12839 | 2013 |     5 |  20 |                    29.4 |                       0 |                25.37917 |             62.68333 |             62.68333
 722020:12839 | 2013 |     5 |  19 |                      30 |                       0 |                 25.7375 |              60.9625 |              60.9625
 722020:12839 | 2013 |     5 |  18 |                    29.4 |                       0 |                25.72083 |              62.3875 |              62.3875
 722020:12839 | 2013 |     5 |  17 |                    30.6 |                       0 |                24.87917 |             59.44167 |             59.44167
 722020:12839 | 2013 |     5 |  16 |                    28.3 |                       0 |                23.77917 |               56.625 |               56.625
 722020:12839 | 2013 |     5 |  15 |                    27.8 |                       0 |                23.97917 |             55.49167 |             55.49167
 722020:12839 | 2013 |     5 |  14 |                    27.8 |                       0 |                   24.85 |             58.49167 |             58.49167
 722020:12839 | 2013 |     5 |  13 |                    32.2 |                       0 |                25.54583 |                61.65 |                61.65
 722020:12839 | 2013 |     5 |  12 |                    30.6 |                       0 |                  24.975 |             62.57917 |             62.57917
 722020:12839 | 2013 |     5 |  11 |                      30 |                       0 |                25.49583 |              63.2125 |              63.2125
 722020:12839 | 2013 |     5 |  10 |                      30 |                       0 |                  25.375 |             62.55417 |             62.55417
 722020:12839 | 2013 |     5 |   9 |                      30 |                       0 |                  24.675 |               58.525 |               58.525
 722020:12839 | 2013 |     5 |   8 |                    28.9 |                       0 |                23.02917 |             57.11667 |             57.11667
 722020:12839 | 2013 |     5 |   7 |                    29.4 |                       0 |                23.12917 |             56.92083 |             56.92083
 722020:12839 | 2013 |     5 |   6 |                    28.9 |                       0 |                21.63913 |             98.83043 |             98.83043
 722020:12839 | 2013 |     5 |   5 |                    28.3 |                       0 |                23.15833 |             58.00417 |             58.00417
 722020:12839 | 2013 |     5 |   4 |                    30.6 |                       0 |                24.37083 |             59.97083 |             59.97083
 722020:12839 | 2013 |     5 |   3 |                    28.3 |                       0 |                 22.3125 |             60.33333 |             60.33333
 722020:12839 | 2013 |     5 |   2 |                    26.7 |                       0 |                22.89167 |             61.65417 |             61.65417
 722020:12839 | 2013 |     5 |   1 |                    28.9 |                       0 |                24.00417 |             62.15833 |             62.15833
 722020:12839 | 2013 |     4 |  30 |                    27.8 |                       0 |                 23.6375 |             61.59583 |             61.59583
 722020:12839 | 2013 |     4 |  29 |                    28.3 |                       0 |                24.32917 |             59.82917 |             59.82917
 722020:12839 | 2013 |     4 |  28 |                    28.3 |                       0 |                   24.65 |               58.225 |               58.225
 722020:12839 | 2013 |     4 |  27 |                    27.8 |                       0 |                24.16667 |             57.23333 |             57.23333
 722020:12839 | 2013 |     4 |  26 |                    28.3 |                       0 |                   23.75 |             56.72917 |             56.72917
 722020:12839 | 2013 |     4 |  25 |                    28.3 |                       0 |                 24.2625 |             56.45833 |             56.45833
